,app_status,pass_course,pass_courseDegreeChoice,pass_campus,pass_campusFirstChoice,pass_pursue,pass_otherUniversity,waitlist_course,waitlist_campus,dpwas_campus,campus
58,Yes,BS MECHANICAL ENGINEERING,1st Degree,UP LOS BANOS,No,yes,,,,,cbzrc
59,No,,,,,,,,,,cbzrc
60,Yes,BS COMPUTER SCIENCE,1st Degree,UP LOS BANOS,No,yes,,,,,cbzrc
61,No,,,,,,,,,,cbzrc
62,No,,,,,,,,,,cbzrc
63,No,,,,,,,,,,cbzrc
64,No,,,,,,,,,,cbzrc
65,No,,,,,,,,,,cbzrc
66,No,,,,,,,,,,cbzrc
67,Yes,BS CHEMICAL ENGINEERING,2nd Degree,UP LOS BANOS,No,not sure,DE LA SALLE UNIVERSITY,,,,cbzrc
68,No,,,,,,,,,,cbzrc
69,No,,,,,,,,,,cbzrc
70,No,,,,,,,,,,cbzrc
71,No,,,,,,,,,,cbzrc
72,No,,,,,,,,,,cbzrc
73,No,,,,,,,,,,cbzrc
74,Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,yes,,,,,cbzrc
75,No,,,,,,,,,,cbzrc
76,No,,,,,,,,,,cbzrc
77,No,,,,,,,,,,cbzrc
78,No,,,,,,,,,,cbzrc
0,No,,,,,,,,,,clc
1,Yes,BS GEOLOGY,2nd Degree,UP DILIMAN,Yes,yes,,,,,clc
2,No,,,,,,,,,,clc
3,Yes,BS BIOCHEMISTRY,1st Degree,UP MANILA,Yes,not sure,,,,,clc
4,DPWAS,,,,,,,,,UP DILIMAN,clc
5,Yes,BS CHEMISTRY,2nd Degree,UP LOS BANOS,No,yes,,,,,clc
6,No,,,,,,,,,,clc
7,Yes,BS AGRIBUSINESS MANAGEMENT AND ENTREPRENEURSHIP,1st Degree,UP LOS BANOS,No,yes,,,,,clc
8,No,,,,,,,,,,clc
9,Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
10,No,,,,,,,,,,clc
11,No,,,,,,,,,,clc
12,Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
13,No,,,,,,,,,,clc
14,No,,,,,,,,,,clc
15,Yes,BS CHEMISTRY,2nd Degree,UP DILIMAN,Yes,yes,,,,,clc
16,DPWAS,,,,,,,,,UP MANILA,clc
17,Yes,BS INDUSTRIAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
18,No,,,,,,,,,,clc
19,No,,,,,,,,,,clc
20,No,,,,,,,,,,clc
21,No,,,,,,,,,,clc
22,Yes,BS COMPUTER SCIENCE,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
23,DPWAS,,,,,,,,,UP DILIMAN,clc
24,Yes,BS COMPUTER SCIENCE,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,clc
25,Yes,BS PHYSICS,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,clc
26,Yes,BS OCCUPATIONAL THERAPY,1st Degree,UP MANILA,Yes,no,DE LA SALLE UNIVERSITY,,,,clc
27,No,,,,,,,,,,clc
28,Yes,BS BIOCHEMISTRY,1st Degree,UP MANILA,Yes,no,University of Santo Tomas,,,,clc
29,Yes,BS BIOLOGY,1st Degree,UP BAGUIO,No,yes,,,,,clc
30,No,,,,,,,,,,clc
31,No,,,,,,,,,,clc
32,DPWAS,,,,,,,,,UP MANILA,clc
33,DPWAS,,,,,,,,,UP MANILA,clc
34,Yes,BS ELECTRICAL ENGINEERING,1st Degree,UP LOS BANOS,No,yes,,,,,clc
35,Yes,BS CIVIL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
36,Yes,BS APPLIED PHYSICS,1st Degree,UP DILIMAN,Yes,not sure,,,,,clc
37,No,,,,,,,,,,clc
38,Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,not sure,,,,,clc
39,Yes,BS MECHANICAL ENGINEERING,3rd Degree,UP DILIMAN,Yes,yes,,,,,clc
40,DPWAS,,,,,,,,,UP LOS BANOS,clc
41,DPWAS,,,,,,,,,UP DILIMAN,clc
42,No,,,,,,,,,,clc
43,Yes,BS PHARMACEUTICAL SCIENCES,1st Degree,UP MANILA,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,clc
44,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,ATENEO DE MANILA UNIVERSITY,,,,clc
45,No,,,,,,,,,,clc
46,Yes,BS COMPUTER SCIENCE,2nd Degree,UP BAGUIO,No,no,AUF (Angeles University Foundation),,,,clc
47,No,,,,,,,,,,clc
48,Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,not sure,,,,,clc
49,No,,,,,,,,,,clc
50,Yes,BS GEOGRAPHY,3rd Degree,UP DILIMAN,Yes,yes,,,,,clc
51,Yes,BS COMPUTER SCIENCE,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
52,No,,,,,,,,,,clc
53,No,,,,,,,,,,clc
54,Yes,BS CHEMISTRY,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
55,No,,,,,,,,,,clc
56,No,,,,,,,,,,clc
57,DPWAS,,,,,,,,,UP MANILA,clc
58,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
59,DPWAS,,,,,,,,,UP DILIMAN,clc
60,DPWAS,,,,,,,,,UP MANILA,clc
62,No,,,,,,,,,,clc
