,app_status,pass_course,pass_courseDegreeChoice,pass_campus,pass_campusFirstChoice,pass_pursue,pass_otherUniversity,waitlist_course,waitlist_campus,dpwas_campus,campus
11,Yes,BS APPLIED PHYSICS,4th Degree,UP DILIMAN,Yes,not sure,ATENEO DE MANILA UNIVERSITY,,,,irc
12,DPWAS,,,,,,,,,UP LOS BANOS,irc
13,Yes,BS COMPUTER SCIENCE,1st Degree,UP LOS BANOS,No,yes,,,,,irc
14,Yes,BS BIOLOGY,1st Degree,UP DILIMAN,Yes,yes,,,,,irc
15,DPWAS,,,,,,,,,UP DILIMAN,irc
16,Yes,BS FOOD TECHNOLOGY,4th Degree,UP LOS BANOS,No,yes,,,,,irc
17,Yes,BS FOOD TECHNOLOGY ,3rd Degree,UP DILIMAN,Yes,not sure,,,,,irc
18,No,,,,,,,,,,irc
19,No,,,,,,,,,,irc
20,No,,,,,,,,,,irc
21,No,,,,,,,,,,irc
22,Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,Yes,yes,,,,,irc
23,DPWAS,,,,,,,,,UP DILIMAN,irc
24,Yes,BS MATERIALS ENGINEERING,3rd Degree,UP DILIMAN,Yes,yes,,,,,irc
25,Yes,BS APPLIED MATHEMATICS,1st Degree,UP LOS BANOS,Yes,no,DE LA SALLE UNIVERSITY,,,,irc
26,No,,,,,,,,,,irc
27,Waitlisted,,,,,,,BS BIOLOGY,UP MANILA,,irc
28,DPWAS,,,,,,,,,UP MANILA,irc
29,DPWAS,,,,,,,,,UP LOS BANOS,irc
30,Yes,BS BIOLOGY,1st Degree,UP DILIMAN,Yes,yes,N/a,,,,irc
31,No,,,,,,,,,,irc
32,No,,,,,,,,,,irc
33,DPWAS,,,,,,,,,UP MANILA,irc
34,Yes,BS COMMUNITY NUTRITION,1st Degree,UP DILIMAN,Yes,not sure,UST ,,,,irc
35,No,,,,,,,,,,irc
36,Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,not sure,DE LA SALLE UNIVERSITY,,,,irc
37,No,,,,,,,,,,irc
38,No,,,,,,,,,,irc
39,Yes,BS AGRICULTURE,2nd Degree,UP LOS BANOS,No,not sure,,,,,irc
40,No,,,,,,,,,,irc
41,Yes,BS FOOD TECHNOLOGY,4th Degree,UP LOS BANOS,No,not sure,,,,,irc
42,Yes,BS AGRICULTURE,3rd Degree,UP LOS BANOS,No,not sure,DE LA SALLE UNIVERSITY,,,,irc
43,No,,,,,,,,,,irc
44,Yes,BS AGRICULTURE,,UP LOS BANOS,No,yes,,,,,irc
45,No,,,,,,,,,,irc
46,DPWAS,,,,,,,,,UP DILIMAN,irc
47,Waitlisted,,,,,,,BS FOOD TECHNOLOGY,UP LOS BANOS,UP LOS BANOS,irc
48,Yes,BS COMMUNITY NUTRITION,3rd Degree,UP DILIMAN,No,yes,,,,,irc
49,Yes,BS COMPUTER SCIENCE,3rd Degree,UP MANILA,Yes,not sure,,,,,irc
50,Yes,BS AGRICULTURE,4th Degree,UP LOS BANOS,No,not sure,,,,,irc
51,DPWAS,,,,,,,,,UP MANILA,irc
52,Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,yes,,,,,irc
53,Yes,BS AGRICULTURAL CHEMISTRY,4th Degree,UP LOS BANOS,No,not sure,,,,,irc
54,No,,,,,,,,,,irc
55,No,,,,,,,,,,irc
56,No,,,,,,,,,,irc
57,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,irc
58,Yes,BS APPLIED PHYSICS,1st Degree,UP LOS BANOS,No,not sure,DE LA SALLE UNIVERSITY,,,,irc
59,DPWAS,,,,,,,,,UP MANILA,irc
60,No,,,,,,,,,,irc
61,No,,,,,,,,,,irc
62,No,,,,,,,,,,irc
63,No,,,,,,,,,,irc
64,No,,,,,,,,,,irc
65,No,,,,,,,,,,irc
66,No,,,,,,,,,,irc
67,DPWAS,,,,,,,,,UP LOS BANOS,irc
68,No,,,,,,,,,,irc
69,No,,,,,,,,,,irc
70,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,no,,,,,irc
71,No,,,,,,,,,,irc
0,Yes,BS COMPUTER SCIENCE,1st Degree,UP MANILA,Yes,no,,,,,smc
1,DPWAS,,,,,,,,,UP MANILA,smc
2,Yes,BS ARCHITECTURE,1st Degree,UP MINDANAO,No,not sure,MSU-IIT,,,,smc
3,Yes,BS NUTRITION,1st Degree,UP LOS BANOS,No,not sure,,,,,smc
4,Yes,BA FINE ARTS,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
5,Yes,BS CIVIL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
6,Yes,BS CHEMICAL ENGINEERING,2nd Degree,UP VISAYAS,No,yes,,,,,smc
7,No,,,,,,,,,,smc
8,Yes,BS NUTRITION,1st Degree,UP LOS BANOS,No,yes,,,,,smc
9,Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,,,,,smc
10,Yes,BS CHEMISTRY,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,smc
11,Yes,BS COMMUNITY NUTRITION,2nd Degree,UP DILIMAN,Yes,yes,,,,,smc
12,Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,no,,,,,smc
13,DPWAS,,,,,,,,,UP MANILA,smc
14,No,,,,,,,,,,smc
15,No,,,,,,,,,,smc
16,Yes,BS FOOD TECHNOLOGY,5th Degree,UP VISAYAS,No,no,ATENEO DE MANILA UNIVERSITY,,,,smc
17,Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,no,,,,,smc
18,Yes,BS FOOD TECHNOLOGY,1st Degree,UP MINDANAO,Yes,no,,,,,smc
19,Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,yes,,,,,smc
20,Yes,BS COMPUTER SCIENCE,1st Degree,UP MINDANAO,Yes,no,Ateneo de Davao University,,,,smc
21,No,,,,,,,,,,smc
22,DPWAS,,,,,,,,,UP MINDANAO,smc
23,Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,no,Ateneo de Davao University ,,,,smc
24,Yes,BS ARCHITECTURE,3rd Degree,UP MINDANAO,No,no,Malayan Colleges of Mindanao,,,,smc
25,Yes,BS SPEECH PATHOLOGY,1st Degree,UP MANILA,Yes,no,University of Santo Tomas,,,,smc
26,Yes,BS PHARMACEUTICAL SCIENCES,3rd Degree,UP MANILA,No,yes,N/A ,,,,smc
27,DPWAS,,,,,,,,,UP MANILA,smc
28,Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,Yes,yes,SILLIMAN UNIVERSITY,,,,smc
29,Yes,BS BIOLOGY,1st Degree,UP MINDANAO,No,yes,,,,,smc
30,No,,,,,,,,,,smc
31,Yes,BS APPLIED PHYSICS,3rd Degree,UP MANILA,Yes,not sure,DE LA SALLE UNIVERSITY,,,,smc
32,No,,,,,,,,,,smc
33,Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,yes,,,,,smc
34,No,,,,,,,,,,smc
35,DPWAS,,,,,,,,,UP MINDANAO,smc
36,Yes,BS BIOLOGY,1st Degree,UP MINDANAO,No,yes,,,,,smc
37,Yes,BS COMPUTER SCIENCE,1st Degree,UP MINDANAO,Yes,no,Malayan College Mindanao (MCM),,,,smc
38,No,,,,,,,,,,smc
39,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,no,DE LA SALLE UNIVERSITY,,,,smc
40,Yes,BS CHEMISTRY,1st Degree,UP LOS BANOS,No,not sure,,,,,smc
41,Yes,BS CHEMISTRY,5th Degree,UP LOS BANOS,No,not sure,,,,,smc
42,Yes,BS FOOD TECHNOLOGY,3rd Degree,UP VISAYAS,No,yes,,,,,smc
43,No,,,,,,,,,,smc
44,No,,,,,,,,,,smc
45,Yes,BS BIOLOGY,4th Degree,UP MINDANAO,No,no,UST,,,,smc
46,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
47,Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
48,No,,,,,,,,,,smc
49,Yes,BS CHEMICAL ENGINEERING ,2nd Degree,UP LOS BANOS,Yes,yes,,,,,smc
50,Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
51,Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
52,No,,,,,,,,,,smc
53,Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,not sure,UST,,,,smc
54,Yes,BS ARCHITECTURE,1st Degree,UP DILIMAN,Yes,no,,,,,smc
0,No,,,,,,,,,,src
1,No,,,,,,,,,,src
2,No,,,,,,,,,,src
3,No,,,,,,,,,,src
4,No,,,,,,,,,,src
5,Yes,BS ANTHROPOLOGY,4th Degree,UP MINDANAO,No,yes,,,,,src
6,No,,,,,,,,,,src
7,No,,,,,,,,,,src
8,No,,,,,,,,,,src
9,No,,,,,,,,,,src
10,No,,,,,,,,,,src
11,Waitlisted,,,,,,,BS PHARMACEUTICAL SCIENCES,UP MANILA,,src
12,No,,,,,,,,,,src
13,Yes,BS FISHERIES,5th Degree,UP VISAYAS,No,yes,,,,,src
14,No,,,,,,,,,,src
15,No,,,,,,,,,,src
16,DPWAS,,,,,,,,,UP VISAYAS,src
17,No,,,,,,,,,,src
18,DPWAS,,,,,,,,,UP VISAYAS,src
19,No,,,,,,,,,,src
20,No,,,,,,,,,,src
21,No,,,,,,,,,,src
22,No,,,,,,,,,,src
23,Yes,BS FOOD TECHNOLOGY,4th Degree,UP VISAYAS,No,not sure,,,,,src
24,No,,,,,,,,,,src
25,No,,,,,,,,,,src
26,No,,,,,,,,,,src
27,No,,,,,,,,,,src
28,No,,,,,,,,,,src
29,No,,,,,,,,,,src
30,No,,,,,,,,,,src
31,No,,,,,,,,,,src
32,No,,,,,,,,,,src
33,No,,,,,,,,,,src
34,No,,,,,,,,,,src
35,Yes,BS CHEMICAL ENGINEERING,1st Degree,UP VISAYAS,No,yes,,,,,src
36,Yes,BS CHEMICAL ENGINEERING,2nd Degree,UP VISAYAS,No,yes,,,,,src
37,No,,,,,,,,,,src
38,No,,,,,,,,,,src
39,Yes,BS CHEMICAL ENGINEERING,1st Degree,UP VISAYAS,No,not sure,,,,,src
40,No,,,,,,,,,,src
41,No,,,,,,,,,,src
42,Yes,BS COMPUTER SCIENCE,1st Degree,UP VISAYAS,Yes,not sure,Most probably MSU IIT,,,,src
43,No,,,,,,,,,,src
44,Yes,BS ARCHITECTURE,1st Degree,UP MINDANAO,No,not sure,,,,,src
45,No,,,,,,,,,,src
46,No,,,,,,,,,,src
47,No,,,,,,,,,,src
48,No,,,,,,,,,,src
49,No,,,,,,,,,,src
50,No,,,,,,,,,,src
51,No,,,,,,,,,,src
52,No,,,,,,,,,,src
53,Yes,BS CHEMISTRY,1st Degree,UP VISAYAS,No,not sure,,,,,src
54,Yes,BS AGRIBUSINESS ECONOMICS,4th Degree,UP MINDANAO,No,no,WVSU,,,,src
55,No,,,,,,,,,,src
56,No,,,,,,,,,,src
57,No,,,,,,,,,,src
58,No,,,,,,,,,,src
59,No,,,,,,,,,,src
60,Yes,BS FOOD TECHNOLOGY,1st Degree,UP MINDANAO,Yes,not sure,,,,,src
61,Yes,BS COMPUTER SCIENCE,1st Degree,UP LOS BANOS,Yes,not sure,MSU-IIT,,,,src
62,No,,,,,,,,,,src
63,DPWAS,,,,,,,,,UP MINDANAO,src
64,No,,,,,,,,,,src
65,Yes,BS AGRIBUSINESS ECONOMICS,3rd Degree,UP MINDANAO,No,not sure,I’m not sure yet,,,,src
66,No,,,,,,,,,,src
67,No,,,,,,,,,,src
68,No,,,,,,,,,,src
69,No,,,,,,,,,,src
70,No,,,,,,,,,,src
71,No,,,,,,,,,,src
72,No,,,,,,,,,,src
73,No,,,,,,,,,,src
74,Waitlisted,,,,,,,BS CHEMISTRY,UP VISAYAS,,src
75,No,,,,,,,,,,src
76,Yes,BS APPLIED MATHEMATICS,1st Degree,UP MINDANAO,No,no,ATENEO DE MANILA UNIVERSITY,,,,src
77,No,,,,,,,,,,src
78,Yes,BS FOOD TECHNOLOGY,1st Degree,UP VISAYAS,No,not sure,,,,,src
79,No,,,,,,,,,,src
80,No,,,,,,,,,,src
81,Yes,BS FOOD TECHNOLOGY,2nd Degree,UP VISAYAS,No,no,WVSU,,,,src
82,No,,,,,,,,,,src
83,Yes,BS INDUSTRIAL ENGINEERING,2nd Degree,UP DILIMAN,Yes,no,DE LA SALLE UNIVERSITY,,,,src
84,No,,,,,,,,,,src
85,No,,,,,,,,,,src
86,No,,,,,,,,,,src
87,Waitlisted,,,,,,,BS FOOD TECHNOLOGY,UP VISAYAS,,src
88,No,,,,,,,,,,src
89,No,,,,,,,,,,src
90,No,,,,,,,,,,src
91,No,,,,,,,,,,src
