app_status,pass_course,pass_courseDegreeChoice,pass_campus,pass_campusFirstChoice,pass_pursue,pass_otherUniversity,waitlist_course,waitlist_campus,dpwas_campus,campus
No,,,,,,,,,,irc
Yes,BS AGRICULTURE,2nd Degree,UP LOS BANOS,No,not sure,,,,,irc
No,,,,,,,,,,irc
Yes,BS FOOD TECHNOLOGY,4th Degree,UP LOS BANOS,No,not sure,,,,,irc
Yes,BS AGRICULTURE,3rd Degree,UP LOS BANOS,No,not sure,DE LA SALLE UNIVERSITY,,,,irc
No,,,,,,,,,,irc
Yes,BS AGRICULTURE,,UP LOS BANOS,No,yes,,,,,irc
No,,,,,,,,,,irc
DPWAS,,,,,,,,,UP DILIMAN,irc
Waitlisted,,,,,,,BS FOOD TECHNOLOGY,UP LOS BANOS,UP LOS BANOS,irc
Yes,BS COMMUNITY NUTRITION,3rd Degree,UP DILIMAN,No,yes,,,,,irc
Yes,BS COMPUTER SCIENCE,3rd Degree,UP MANILA,Yes,not sure,,,,,irc
Yes,BS AGRICULTURE,4th Degree,UP LOS BANOS,No,not sure,,,,,irc
DPWAS,,,,,,,,,UP MANILA,irc
Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,yes,,,,,irc
Yes,BS AGRICULTURAL CHEMISTRY,4th Degree,UP LOS BANOS,No,not sure,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,irc
Yes,BS APPLIED PHYSICS,1st Degree,UP LOS BANOS,No,not sure,DE LA SALLE UNIVERSITY,,,,irc
DPWAS,,,,,,,,,UP MANILA,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
DPWAS,,,,,,,,,UP LOS BANOS,irc
No,,,,,,,,,,irc
No,,,,,,,,,,irc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,no,,,,,irc
No,,,,,,,,,,irc
Yes,BS COMPUTER SCIENCE,1st Degree,UP MANILA,Yes,no,,,,,smc
DPWAS,,,,,,,,,UP MANILA,smc
Yes,BS ARCHITECTURE,1st Degree,UP MINDANAO,No,not sure,MSU-IIT,,,,smc
Yes,BS NUTRITION,1st Degree,UP LOS BANOS,No,not sure,,,,,smc
Yes,BA FINE ARTS,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
Yes,BS CIVIL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
Yes,BS CHEMICAL ENGINEERING,2nd Degree,UP VISAYAS,No,yes,,,,,smc
No,,,,,,,,,,smc
Yes,BS NUTRITION,1st Degree,UP LOS BANOS,No,yes,,,,,smc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,,,,,smc
Yes,BS CHEMISTRY,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,smc
Yes,BS COMMUNITY NUTRITION,2nd Degree,UP DILIMAN,Yes,yes,,,,,smc
Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,no,,,,,smc
DPWAS,,,,,,,,,UP MANILA,smc
No,,,,,,,,,,smc
No,,,,,,,,,,smc
Yes,BS FOOD TECHNOLOGY,5th Degree,UP VISAYAS,No,no,ATENEO DE MANILA UNIVERSITY,,,,smc
Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,no,,,,,smc
Yes,BS FOOD TECHNOLOGY,1st Degree,UP MINDANAO,Yes,no,,,,,smc
Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,yes,,,,,smc
Yes,BS COMPUTER SCIENCE,1st Degree,UP MINDANAO,Yes,no,Ateneo de Davao University,,,,smc
No,,,,,,,,,,smc
DPWAS,,,,,,,,,UP MINDANAO,smc
Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,no,Ateneo de Davao University ,,,,smc
Yes,BS ARCHITECTURE,3rd Degree,UP MINDANAO,No,no,Malayan Colleges of Mindanao,,,,smc
Yes,BS SPEECH PATHOLOGY,1st Degree,UP MANILA,Yes,no,University of Santo Tomas,,,,smc
Yes,BS PHARMACEUTICAL SCIENCES,3rd Degree,UP MANILA,No,yes,N/A ,,,,smc
DPWAS,,,,,,,,,UP MANILA,smc
Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,Yes,yes,SILLIMAN UNIVERSITY,,,,smc
Yes,BS BIOLOGY,1st Degree,UP MINDANAO,No,yes,,,,,smc
No,,,,,,,,,,smc
Yes,BS APPLIED PHYSICS,3rd Degree,UP MANILA,Yes,not sure,DE LA SALLE UNIVERSITY,,,,smc
No,,,,,,,,,,smc
Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,yes,,,,,smc
No,,,,,,,,,,smc
DPWAS,,,,,,,,,UP MINDANAO,smc
Yes,BS BIOLOGY,1st Degree,UP MINDANAO,No,yes,,,,,smc
Yes,BS COMPUTER SCIENCE,1st Degree,UP MINDANAO,Yes,no,Malayan College Mindanao (MCM),,,,smc
No,,,,,,,,,,smc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,no,DE LA SALLE UNIVERSITY,,,,smc
Yes,BS CHEMISTRY,1st Degree,UP LOS BANOS,No,not sure,,,,,smc
Yes,BS CHEMISTRY,5th Degree,UP LOS BANOS,No,not sure,,,,,smc
Yes,BS FOOD TECHNOLOGY,3rd Degree,UP VISAYAS,No,yes,,,,,smc
No,,,,,,,,,,smc
No,,,,,,,,,,smc
Yes,BS BIOLOGY,4th Degree,UP MINDANAO,No,no,UST,,,,smc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
No,,,,,,,,,,smc
Yes,BS CHEMICAL ENGINEERING,2nd Degree,UP LOS BANOS,Yes,yes,,,,,smc
Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,smc
No,,,,,,,,,,smc
Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,not sure,UST,,,,smc
Yes,BS ARCHITECTURE,1st Degree,UP DILIMAN,Yes,no,,,,,smc
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Yes,BS ANTHROPOLOGY,4th Degree,UP MINDANAO,No,yes,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Waitlisted,,,,,,,BS PHARMACEUTICAL SCIENCES,UP MANILA,,src
No,,,,,,,,,,src
Yes,BS FISHERIES,5th Degree,UP VISAYAS,No,yes,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
DPWAS,,,,,,,,,UP VISAYAS,src
No,,,,,,,,,,src
DPWAS,,,,,,,,,UP VISAYAS,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Yes,BS FOOD TECHNOLOGY,4th Degree,UP VISAYAS,No,not sure,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP VISAYAS,No,yes,,,,,src
Yes,BS CHEMICAL ENGINEERING,2nd Degree,UP VISAYAS,No,yes,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP VISAYAS,No,not sure,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Yes,BS COMPUTER SCIENCE,1st Degree,UP VISAYAS,Yes,not sure,Most probably MSU IIT,,,,src
No,,,,,,,,,,src
Yes,BS ARCHITECTURE,1st Degree,UP MINDANAO,No,not sure,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Yes,BS CHEMISTRY,1st Degree,UP VISAYAS,No,not sure,,,,,src
Yes,BS AGRIBUSINESS ECONOMICS,4th Degree,UP MINDANAO,No,no,WVSU,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Yes,BS FOOD TECHNOLOGY,1st Degree,UP MINDANAO,Yes,not sure,,,,,src
Yes,BS COMPUTER SCIENCE,1st Degree,UP LOS BANOS,Yes,not sure,MSU-IIT,,,,src
No,,,,,,,,,,src
DPWAS,,,,,,,,,UP MINDANAO,src
No,,,,,,,,,,src
Yes,BS AGRIBUSINESS ECONOMICS,3rd Degree,UP MINDANAO,No,not sure,I’m not sure yet,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Waitlisted,,,,,,,BS CHEMISTRY,UP VISAYAS,,src
No,,,,,,,,,,src
Yes,BS APPLIED MATHEMATICS,1st Degree,UP MINDANAO,No,no,ATENEO DE MANILA UNIVERSITY,,,,src
No,,,,,,,,,,src
Yes,BS FOOD TECHNOLOGY,1st Degree,UP VISAYAS,No,not sure,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Yes,BS FOOD TECHNOLOGY,2nd Degree,UP VISAYAS,No,no,WVSU,,,,src
No,,,,,,,,,,src
Yes,BS INDUSTRIAL ENGINEERING,2nd Degree,UP DILIMAN,Yes,no,DE LA SALLE UNIVERSITY,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Waitlisted,,,,,,,BS FOOD TECHNOLOGY,UP VISAYAS,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
No,,,,,,,,,,src
Yes,BS MATHEMATICS,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,wvc
Yes,BS PHYSICS,1st Degree,UP DILIMAN,Yes,no,Gap year <3,,,,wvc
Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,wvc
Yes,BS SPEECH PATHOLOGY,1st Degree,UP MANILA,Yes,yes,,,,,wvc
No,,,,,,,,,,wvc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,wvc
Yes,BS PUBLIC HEALTH,1st Degree,UP VISAYAS,Yes,no,,,,,wvc
Yes,BS FOOD TECHNOLOGY,1st Degree,UP VISAYAS,No,not sure,DLS-CSB,,,,wvc
Yes,BS BIOLOGY,2nd Degree,UP VISAYAS,Yes,no,WVSU,,,,wvc
Yes,BS PUBLIC HEALTH,1st Degree,UP VISAYAS,No,yes,,,,,wvc
Yes,BS PHARMACEUTICAL SCIENCES,1st Degree,UP MANILA,Yes,yes,,,,,wvc
Yes,BS PUBLIC HEALTH,1st Degree,UP VISAYAS,Yes,yes,,,,,wvc
Waitlisted,,,,,,,BS APPLIED PHYSICS,UP LOS BANOS,UP LOS BANOS,wvc
Yes,BS MECHANICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,wvc
DPWAS,,,,,,,,,UP DILIMAN,wvc
DPWAS,,,,,,,,,UP DILIMAN,wvc
No,,,,,,,,,,wvc
Waitlisted,,,,,,,BA PSYCHOLOGY,UP VISAYAS,UP VISAYAS,wvc
Yes,BS FOOD TECHNOLOGY,2nd Degree,UP VISAYAS,No,yes,,,,,wvc
No,,,,,,,,,,wvc
Waitlisted,,,,,,,BS FOOD TECHNOLOGY,UP VISAYAS,UP VISAYAS,wvc
Yes,BS PHYSICAL THERAPY,1st Degree,UP MANILA,Yes,no,Maritime Academy of Asia and the Pacific,,,,wvc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,wvc
Yes,BS COMMUNITY NUTRITION,3rd Degree,UP DILIMAN,Yes,yes,,,,,wvc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP VISAYAS,No,yes,,,,,wvc
Yes,BS OCCUPATIONAL THERAPY,2nd Degree,UP MANILA,Yes,no,,,,,wvc
No,,,,,,,,,,wvc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP VISAYAS,No,yes,,,,,wvc
Yes,BS MATHEMATICS,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,wvc
Yes,BS PUBLIC HEALTH,4th Degree,UP VISAYAS,No,no,Universiy of Santo Thomas,,,,wvc
No,,,,,,,,,,wvc
Yes,BS APPLIED PHYSICS,1st Degree,UP DILIMAN,Yes,yes,,,,,wvc
Yes,BS COMPUTER SCIENCE,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,wvc
Yes,BS STATISTICS,1st Degree,UP DILIMAN,Yes,no,Ateneo de Manila University ,,,,wvc
Yes,BS FOOD TECHNOLOGY,1st Degree,UP VISAYAS,No,yes,,,,,wvc
DPWAS,,,,,,,,,UP DILIMAN,wvc
Yes,BS AGRICULTURAL CHEMISTRY,1st Degree,UP LOS BANOS,Yes,yes,,,,,wvc
Yes,BS APPLIED PHYSICS,1st Degree,UP DILIMAN,Yes,not sure,De La Salle University - Laguna Campus,,,,wvc
Yes,BS APPLIED PHYSICS,1st Degree,UP DILIMAN,Yes,yes,,,,,wvc
Yes,BS FISHERIES,3rd Degree,UP VISAYAS,No,not sure,,,,,wvc
Yes,BS PUBLIC HEALTH,1st Degree,UP VISAYAS,Yes,no,DLSU Laguna,,,,wvc
Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,1st Degree,UP DILIMAN,Yes,yes,,,,,wvc
Yes,BS COMPUTER SCIENCE,2nd Degree,UP VISAYAS,No,yes,,,,,wvc
No,,,,,,,,,,wvc
Yes,BS FISHERIES,4th Degree,UP VISAYAS,Yes,no,WVSU,,,,wvc
Yes,BS GEOLOGY,1st Degree,UP DILIMAN,Yes,yes,,,,,wvc
Yes,BS PHYSICS,1st Degree,UP DILIMAN,Yes,yes,,,,,wvc
No,,,,,,,,,,wvc
Yes,BS COMPUTER SCIENCE,1st Degree,UP VISAYAS,No,yes,,,,,wvc
Yes,BS BIOCHEMISTRY,1st Degree,UP MANILA,Yes,yes,,,,,wvc
No,,,,,,,,,,wvc
DPWAS,,,,,,,,,UP MANILA,wvc
Yes,BS COMPUTER SCIENCE,1st Degree,UP CEBU,Yes,no,DE LA SALLE UNIVERSITY,,,,wvc
Yes,BA PSYCHOLOGY,1st Degree,UP VISAYAS,No,no,Western Visayas State University,,,,wvc
Yes,BS PUBLIC HEALTH,1st Degree,UP VISAYAS,Yes,no,WVSU,,,,wvc
No,,,,,,,,,,wvc
Yes,BS CHEMISTRY,1st Degree,UP DILIMAN,Yes,yes,,,,,wvc
Yes,BS AGRIBUSINESS MANAGEMENT AND ENTREPRENEURSHIP,1st Degree,UP LOS BANOS,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,wvc
Yes,BS BIOLOGY,2nd Degree,UP VISAYAS,Yes,not sure,,,,,wvc
Yes,BS COMMUNITY NUTRITION,2nd Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,wvc
Yes,BS PHARMACEUTICAL SCIENCES,1st Degree,UP MANILA,Yes,yes,,,,,wvc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,no,,,,,wvc
Yes,BS BIOLOGY,2nd Degree,UP VISAYAS,No,no,CPU,,,,wvc
Yes,BS STATISTICS,3rd Degree,UP DILIMAN,Yes,yes,,,,,wvc
Yes,BS ECONOMICS,1st Degree,UP VISAYAS,No,not sure,ISAT U,,,,wvc
Yes,BS COMPUTER SCIENCE,5th Degree,UP VISAYAS,No,yes,,,,,wvc
No,,,,,,,,,,wvc
No,,,,,,,,,,wvc
No,,,,,,,,,,wvc
No,,,,,,,,,,wvc
No,,,,,,,,,,wvc
Yes,BS BIOLOGY,1st Degree,UP VISAYAS,Yes,not sure,,,,,wvc
Yes,BS PUBLIC HEALTH,1st Degree,UP VISAYAS,Yes,no,DE LA SALLE UNIVERSITY,,,,wvc
Yes,BA FISHERIES,3rd Degree,UP VISAYAS,No,yes,,,,,wvc
No,,,,,,,,,,wvc
No,,,,,,,,,,wvc
Yes,BS FOOD TECHNOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS CHEMICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS MATERIALS ENGINEERING,Third Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS PSYCHOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
No,,,,,,,,,,main
No,,,,,,,,,,main
Yes,BS COMPUTER SCIENCE,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS MATHEMATICS,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS CHEMISTRY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS BIOCHEMISTRY,First Choice,UP MANILA,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS COMPUTER SCIENCE,First Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS PSYCHOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,,,,Yes,,,,,,main
Yes,BS MATHEMATICS,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS ECONOMICS,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS CHEMISTRY,First Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
No,,,,,,,,,,main
No,,,,,,,,,,main
Yes,BS PUBLIC HEALTH,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS ECONOMICS,Third Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS CHEMISTRY,First Choice,UPLB,No,,,,,,main
Yes,BS APPLIED PHYSICS,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS BIOLOGY,First Choice,UP MANILA,Yes,,,,,,main
Yes,BA PSYCHOLOGY,Fourth Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,,,UP MANILA,Yes,,,,,,main
Yes,BS ELECTRICAL ENGINEERING,Second Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS PUBLIC HEALTH,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS BIOLOGY,Third Choice,UP MANILA,Yes,,,,,,main
Yes,BS FOOD TECHNOLOGY,First Choice,UPLB,No,,,,,,main
Yes,BS ELECTRONICS ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS PSYCHOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS CHEMICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS AGRICULTURAL AND BIOSYSTEMS ENGINEERING,First Choice,UPLB,No,,,,,,main
Yes,BS INDUSTRIAL ENGINEERING,Second Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS BIOLOGY,First Choice,UPLB,No,,,,,,main
No,,,,,,,,,,main
Yes,BS PUBLIC HEALTH,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS BIOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS PUBLIC HEALTH,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS CIVIL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS BIOLOGY,First Choice,UPLB,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS PUBLIC HEALTH,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS CHEMICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS CIVIL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS PHYSICS,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,,,UP DILIMAN,Yes,,,,,,main
Yes,BS COMPUTER ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS APPLIED PHYSICS,Second Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS MECHANICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS MATHEMATICS,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS BIOLOGY,First Choice,UP LOS BANOS,Yes,,,,,,main
Yes,BS CHEMICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS MATERIALS ENGINEERING,Third Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
No,,,,,,,,,,main
Yes,BS BIOLOGY,Third Choice,UPLB,No,,,,,,main
Yes,BS PUBLIC HEALTH,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS FORESTRY,First Choice,UPLB,Yes,,,,,,main
Yes,BS AGRICULTURE,First Choice,UPLB,No,,,,,,main
Yes,BS COMPUTER SCIENCE,First Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS BIOCHEMISTRY,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS INDUSTRIAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,,First Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
DPWAS,,,UPLB,No,,,,,,main
Yes,BS PHARMACEUTICAL SCIENCES,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS CHEMISTRY,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,DPWAS FOR ANY AVAILABLE COURSE IN UP/D,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS COMPUTER SCIENCE,Second Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS CLOTHING TECHNOLOGY,Second Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
No,,,,,,,,,,main
DPWAS,,,,No,,,,,,main
Yes,BS BIOCHEMISTRY,First Choice,UP MANILA,Yes,,,,,,main
Yes,,First Choice,,Yes,,,,,,main
Yes,BS INDUSTRIAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS INDUSTRIAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,,,UP DILIMAN,Yes,,,,,,main
Yes,BS AGRICULTURAL BIOTECHNOLOGY,First Choice,UPLB,No,,,,,,main
Yes,BS ELECTRICAL ENGINEERING,Second Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS FOOD TECHNOLOGY,Third Choice,UP LOS BANOS,No,,,,,,main
Yes,BS COMPUTER SCIENCE,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS SPORTS SCIENCE,Fourth Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS CIVIL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
No,,,,,,,,,,main
DPWAS,,,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
Yes,,First Choice,,Yes,,,,,,main
Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,,,UPLB,No,,,,,,main
DPWAS,,,,Yes,,,,,,main
No,,,,,,,,,,main
No,,,,,,,,,,main
Yes,BS COMPUTER ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,,,UP MANILA,Yes,,,,,,main
No,NONE,,None,,,,,,,main
No,,,,,,,,,,main
Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS FOOD TECHNOLOGY,Second Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
No,NONE,,None,,,,,,,main
Yes,BS CHEMICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,,First Choice,,Yes,,,,,,main
No,,,,,,,,,,main
DPWAS,DPWAS,,UP DILIMAN,Yes,,,,,,main
Yes,BS MECHANICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS BIOLOGY,First Choice,UPLB,No,,,,,,main
Yes,BS CHEMICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,,,,Yes,,,,,,main
Yes,BS CHEMISTRY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS PSYCHOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS FOOD TECHNOLOGY,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS COMPUTER ENGINEERING,Second Choice,UP DILIMAN,Yes,,,,,,main
Yes,,,UP DILIMAN,Yes,,,,,,main
Yes,BS MATHEMATICS,Second Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS CIVIL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,DPWAS,,UPLB,No,,,,,,main
Yes,BS MECHANICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS ELECTRONICS ENGINEERING,Second Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
DPWAS,,,UP MANILA,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS COMPUTER SCIENCE,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS BIOLOGY,First Choice,UPLB,No,,,,,,main
Yes,BS ELECTRONICS ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS STATISTICS,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS NURSING,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS PHYSICS,First Choice,UP LOS BANOS,No,,,,,,main
Yes,BS STATISTICS,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS CHEMISTRY,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,,,UP DILIMAN,No,,,,,,main
Yes,BS APPLIED PHYSICS,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS COMPUTER SCIENCE,First Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS OCCUPATIONAL THERAPY,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS MATERIALS ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
No,,,,,,,,,,main
No,,,,,,,,,,main
Yes,BS CHEMISTRY,First Choice,UPLB,Yes,,,,,,main
Yes,BS PHARMACEUTICAL SCIENCES,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS FOOD TECHNOLOGY,Fourth Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
No,,,,,,,,,,main
